Metric: entropy_arr
| Dataset    | Avg. Fit. | Entropy | # Images |
| t_8 | 0.0299660741019151 | 0.7423651016634191 | 24 |
| 80.jpg_dark_1 | 0.06338724146514814 | 0.8381695412387264 | 16 |
| 81.jpg_bright | 0.030005440549644435 | 1.033808416694097 | 32 |
| 80.jpg_dark_4 | 0.27262126215227594 | 1.7098263098677604 | 8 |
| 80.jpg_dark_5 | 0.06819294080608303 | 0.9974958377720158 | 16 |
| FabricDefectsAITEX | 0.13369802570835207 | 2.1820051445177953 | 20 |
| kos10 | 0.07770983260550123 | 1.456023418413934 | 8 |
| bottle_large | 0.26225513731343236 | 1.9919399992471167 | 10 |
| bottle_small | 0.28464968029224386 | 1.8954700857535125 | 11 |
| cable_missing_train | 0.6728396354139807 | 2.7198597017480637 | 6 |
| capsule | 0.15132567662349938 | 2.4345496111118043 | 10 |
| grid_thread | 0.22575435337960606 | 2.4197007128793007 | 10 |
| hazelnut_crack_train | 0.3211591271554146 | 1.9041415191846518 | 9 |
| leather | 0.3542320590261696 | 1.954182493485876 | 10 |
| metal_nut | 0.11186050396653803 | 2.017874474618551 | 11 |
| pill | 0.3568444599584175 | 1.7167998288153303 | 13 |
| screw_scratch_neck_train | 0.16625183329373924 | 2.0494515860090696 | 12 |
| tile_crack | 0.5549096597530526 | 2.4437845524950905 | 8 |
| transistor_damaged_case_train | 0.2235231667261248 | 2.3849074331630398 | 5 |
| wood_scratch | 0.375791355016471 | 2.240103230974006 | 9 |
| zipper | 0.28612142322204837 | 1.9267043002909374 | 8 |
| MT_Blowhole_train | 0.24132746878410258 | 2.1746727000992947 | 57 |
| resin_cgp | 0.4194555239730826 | 2.400604127062584 | 20 |
| resin_cgp_augmented | 0.27331149760548373 | 2.3947450550084795 | 20 |
| window_cgp | 0.5404131094476052 | 2.5290384427506774 | 20 |
| severstal | 0.20878441083697966 | 2.2770063948930774 | 15 |
| spule-upside-0117 | 0.2260461338258702 | 2.0002380590941247 | 0 |
| spule2-0816_Upside-dl1 | 0.3439434728439567 | 1.970545220727611 | 0 |
| toothbrush_small | 0.2134207678318056 | 1.6182857184880295 | 12 |
| CF_RefSet | 0.18715859707154983 | 2.417031992342527 | 34 |
| CF_ReferenceSet_Small_Dark | 0.19065787842053256 | 2.0097144196248693 | 6 |
| 80.jpg_dark_2 | 0.17827867743968123 | 0.9624623634938038 | 0 |
| 80.jpg_dark_3 | 0.16132310651968113 | 1.0836409200598882 | 16 |
| spule-upside-0315 | 0.6341683603837274 | 2.074286959772239 | 105 |
| spule-upside-hole | 0.18286907955278595 | 1.9724666032355898 | 29 |
| spule-upside-hole256 | 0.17887530124981424 | 1.9986207512316512 | 29 |
| CF_RefSet_Small_Light | 0.23250726753228973 | 2.5590675154729223 | 7 |
| carpet | 0.3026647209895258 | 2.504818705268024 | 10 |
| crack_forest | 0.35524891470479414 | 2.810416049097146 | 0 |
| None | 0.17992411863741414 | nan | 5 |
----------------------------------------------------------------

Metric: blurriness_arr
| Dataset    | Avg. Fit. | Entropy | # Images |
| t_8 | 0.0299660741019151 | 125.90620737102692 | 24 |
| 80.jpg_dark_1 | 0.06338724146514814 | 66.83721625905261 | 16 |
| 81.jpg_bright | 0.030005440549644435 | 191.6321869482709 | 32 |
| 80.jpg_dark_4 | 0.27262126215227594 | 695.7142710802868 | 8 |
| 80.jpg_dark_5 | 0.06819294080608303 | 213.66832301616034 | 16 |
| FabricDefectsAITEX | 0.13369802570835207 | 652.1129415184482 | 20 |
| kos10 | 0.07770983260550123 | 32.598040889767624 | 8 |
| bottle_large | 0.26225513731343236 | 342.24698543209877 | 10 |
| bottle_small | 0.28464968029224386 | 149.7062881032548 | 11 |
| cable_missing_train | 0.6728396354139807 | 134.64365715177078 | 6 |
| capsule | 0.15132567662349938 | 61.01953562869371 | 10 |
| grid_thread | 0.22575435337960606 | 208.25601267476836 | 10 |
| hazelnut_crack_train | 0.3211591271554146 | 196.64539742519673 | 9 |
| leather | 0.3542320590261696 | 93.15155909382307 | 10 |
| metal_nut | 0.11186050396653803 | 147.3252609218017 | 11 |
| pill | 0.3568444599584175 | 89.90486351241294 | 13 |
| screw_scratch_neck_train | 0.16625183329373924 | 43.72742193314309 | 12 |
| tile_crack | 0.5549096597530526 | 444.4560436284228 | 8 |
| transistor_damaged_case_train | 0.2235231667261248 | 113.97459826220411 | 5 |
| wood_scratch | 0.375791355016471 | 379.1538054503948 | 9 |
| zipper | 0.28612142322204837 | 168.74412645834428 | 8 |
| MT_Blowhole_train | 0.24132746878410258 | 312.6656518663353 | 57 |
| resin_cgp | 0.4194555239730826 | 582.4118797699595 | 20 |
| resin_cgp_augmented | 0.27331149760548373 | 610.4922652883581 | 20 |
| window_cgp | 0.5404131094476052 | 877.6872836489753 | 20 |
| severstal | 0.20878441083697966 | 529.5631458996656 | 15 |
| spule-upside-0117 | 0.2260461338258702 | 1289.8210145442404 | 0 |
| spule2-0816_Upside-dl1 | 0.3439434728439567 | 906.8717978522712 | 0 |
| toothbrush_small | 0.2134207678318056 | 175.04367972613102 | 12 |
| CF_RefSet | 0.18715859707154983 | 984.0700288334759 | 34 |
| CF_ReferenceSet_Small_Dark | 0.19065787842053256 | 318.50549967214073 | 6 |
| 80.jpg_dark_2 | 0.17827867743968123 | 232.7437665611423 | 0 |
| 80.jpg_dark_3 | 0.16132310651968113 | 233.51397136848618 | 16 |
| spule-upside-0315 | 0.6341683603837274 | 1063.0123859672244 | 105 |
| spule-upside-hole | 0.18286907955278595 | 1050.2261609822547 | 29 |
| spule-upside-hole256 | 0.17887530124981424 | 1968.600775944209 | 29 |
| CF_RefSet_Small_Light | 0.23250726753228973 | 1574.5841560817946 | 7 |
| carpet | 0.3026647209895258 | 268.7120403666079 | 10 |
| crack_forest | 0.35524891470479414 | 1326.2190977366874 | 0 |
| None | 0.17992411863741414 | nan | 5 |
----------------------------------------------------------------

Metric: brightness_arr
| Dataset    | Avg. Fit. | Entropy | # Images |
| t_8 | 0.0299660741019151 | 39.20789694063591 | 24 |
| 80.jpg_dark_1 | 0.06338724146514814 | 14.017334580421448 | 16 |
| 81.jpg_bright | 0.030005440549644435 | 32.26735995709896 | 32 |
| 80.jpg_dark_4 | 0.27262126215227594 | 21.870389580726624 | 8 |
| 80.jpg_dark_5 | 0.06819294080608303 | 16.104011088609695 | 16 |
| FabricDefectsAITEX | 0.13369802570835207 | 64.25202622413636 | 20 |
| kos10 | 0.07770983260550123 | 57.12676425823912 | 8 |
| bottle_large | 0.26225513731343236 | 84.2628100617284 | 10 |
| bottle_small | 0.28464968029224386 | 72.4286635802469 | 11 |
| cable_missing_train | 0.6728396354139807 | 59.84328611691793 | 6 |
| capsule | 0.15132567662349938 | 87.33441970000001 | 10 |
| grid_thread | 0.22575435337960606 | 56.49392948150635 | 10 |
| hazelnut_crack_train | 0.3211591271554146 | 35.16733015908135 | 9 |
| leather | 0.3542320590261696 | 37.611313056945804 | 10 |
| metal_nut | 0.11186050396653803 | 30.368761688311693 | 11 |
| pill | 0.3568444599584175 | 40.13009260817307 | 13 |
| screw_scratch_neck_train | 0.16625183329373924 | 94.29469291369121 | 12 |
| tile_crack | 0.5549096597530526 | 57.62652538619614 | 8 |
| transistor_damaged_case_train | 0.2235231667261248 | 42.05876998901367 | 5 |
| wood_scratch | 0.375791355016471 | 82.683738761478 | 9 |
| zipper | 0.28612142322204837 | 56.72289675474167 | 8 |
| MT_Blowhole_train | 0.24132746878410258 | 41.6064382404958 | 57 |
| resin_cgp | 0.4194555239730826 | 60.74479188034188 | 20 |
| resin_cgp_augmented | 0.27331149760548373 | 62.84600833333334 | 20 |
| window_cgp | 0.5404131094476052 | 106.69041666666666 | 20 |
| severstal | 0.20878441083697966 | 46.88081722005207 | 15 |
| spule-upside-0117 | 0.2260461338258702 | 27.459214950145917 | 0 |
| spule2-0816_Upside-dl1 | 0.3439434728439567 | 25.65573466544102 | 0 |
| toothbrush_small | 0.2134207678318056 | 26.899612585703533 | 12 |
| CF_RefSet | 0.18715859707154983 | 54.66087709011228 | 34 |
| CF_ReferenceSet_Small_Dark | 0.19065787842053256 | 22.33040946275011 | 6 |
| 80.jpg_dark_2 | 0.17827867743968123 | 12.187931776046753 | 0 |
| 80.jpg_dark_3 | 0.16132310651968113 | 11.083645850419998 | 16 |
| spule-upside-0315 | 0.6341683603837274 | 50.72192749227001 | 105 |
| spule-upside-hole | 0.18286907955278595 | 24.03748451231887 | 29 |
| spule-upside-hole256 | 0.17887530124981424 | 24.170292950405877 | 29 |
| CF_RefSet_Small_Light | 0.23250726753228973 | 63.10004679949641 | 7 |
| carpet | 0.3026647209895258 | 47.10885791778564 | 10 |
| crack_forest | 0.35524891470479414 | 93.96065718951776 | 0 |
| None | 0.17992411863741414 | nan | 5 |
----------------------------------------------------------------

Metric: image_size
| Dataset    | Avg. Fit. | Entropy | # Images |
| t_8 | 0.0299660741019151 | 1048576.0 | 24 |
| 80.jpg_dark_1 | 0.06338724146514814 | 1048576.0 | 16 |
| 81.jpg_bright | 0.030005440549644435 | 1048576.0 | 32 |
| 80.jpg_dark_4 | 0.27262126215227594 | 1048576.0 | 8 |
| 80.jpg_dark_5 | 0.06819294080608303 | 1048576.0 | 16 |
| FabricDefectsAITEX | 0.13369802570835207 | 1048576.0 | 20 |
| kos10 | 0.07770983260550123 | 633500.0 | 8 |
| bottle_large | 0.26225513731343236 | 810000.0 | 10 |
| bottle_small | 0.28464968029224386 | 810000.0 | 11 |
| cable_missing_train | 0.6728396354139807 | 1048576.0 | 6 |
| capsule | 0.15132567662349938 | 1000000.0 | 10 |
