Iteration;MP2_0315_Hole_256;Iteration;CF_dark_1;Iteration;Tile_Crack;Iteration;Cable_Missing;Iteration;Pul_Resin;Iteration;Severstal_Steel;
;;180;7,37711e-007;	180;-0,0196412;	180;-0,00785149;
;;179;-0,0105825;	179;-0,0220165;	179;-0,0105284;
;;178;-0,0253533;	178;-0,0164375;	178;-0,016464;
;;177;-0,019104;	177;-0,0416657;	177;-0,0145955;
;;176;-0,00798013;	176;-0,0340213;	176;-0,00809944;
;;175;-0,00888315;	175;-0,0093541;	175;-0,0135414;
;;174;2,80461e-007;	174;-0,0227481;	174;-0,00187619;
;;173;-0,000127907;	173;-0,0102907;	173;-0,00188393;
;;172;-0,0513641;	172;-0,0261247;	172;-0,00503418;
;;171;-0,00347975;	171;-0,0260845;	171;-0,00342388;
;;170;-0,000351192;	170;-0,0127078;	170;-0,0041815;
;;169;-0,0198023;	169;-0,0319186;	169;-0,016436;
;;168;8,61716e-008;	168;-0,0109925;	168;-0,000371459;
;;167;-0,125491;	167;-0,0107232;	167;-0,0107234;
;;166;-0,0301291;	166;-0,0199801;	166;-0,0393625;
;;165;-0,0427302;	165;-0,025889;	165;-0,00241806;
;;164;-0,0710424;	164;-0,00708321;	164;-0,0119966;
;;163;-0,015824;	163;-0,0143869;	163;-0,0034074;
;;162;-0,000109025;	162;0;	162;-0,0150387;
;;161;-0,0061001;	161;-0,0303825;	161;-0,0104776;
;;160;-0,0174788;	160;-0,0220543;	160;-0,0105618;
;;159;-0,02008;	159;-0,0037745;	159;-0,00519008;
;;158;-0,00839802;	158;-0,0193073;	158;-0,0135305;
;;157;-0,0123299;	157;-0,0264658;	157;-0,00147889;
;;156;-0,00891134;	156;-0,0124089;	156;-0,00233892;
;;155;-0,0420785;	155;-0,023657;	155;-0,00248417;
;;154;-0,0255352;	154;-0,00612811;	154;-0,0890593;
;;153;4,34611e-008;	153;-0,0371187;	153;-0,000199377;
;;152;-0,0314445;	152;-0,00655993;	152;-0,011202;
151;-0,0160625;	151;-0,00184659;	151;-0,00649274;	151;0;	151;-0,0187289;	151;-0,0198797;
150;-0,0160625;	150;-0,00184659;	150;-0,00649274;	150;-0,000936045;	150;-0,0207483;	150;-0,0177108;
149;-0,0175889;	149;-0,000708052;	149;-0,0145591;	149;-0,0346311;	149;5,11223e-006;	149;-0,00541416;
148;-0,01363;	148;-0,00132714;	148;6,60492e-009;	148;8,6036e-008;	148;-0,0177158;	148;-0,00608506;
147;-0,0161773;	147;0;	147;-0,0069019;	147;-0,00450549;	147;-0,0171267;	147;-0,0128848;
146;-0,00315919;	146;-0,00106417;	146;-0,0337864;	146;-0,00143656;	146;-0,00867589;	146;-0,0108525;
145;-0,00682823;	145;-0,00153241;	145;-0,000245179;	145;-0,00197835;	145;-0,0241277;	145;-0,00989902;
144;-0,0282246;	144;-0,00333186;	144;0;	144;-0,0185942;	144;-0,0148659;	144;-0,00916036;
143;-0,0160641;	143;9,05549e-008;	143;-0,0211352;	143;0;	143;-0,0688255;	143;-0,00452428;
142;-0,0283004;	142;9,84234e-008;	142;-0,0131724;	142;0;	142;-0,0252676;	142;-0,0312725;
141;-0,00555028;	141;0;	141;-0,00517981;	141;-0,0354726;	141;-0,0506626;	141;-0,00428882;
140;-0,00120681;	140;7,44676e-009;	140;-0,00667335;	140;-0,0512883;	140;-0,0188646;	140;-0,0117407;
139;-0,0117354;	139;-0,000577368;	139;0;	139;-4,35325e-005;	139;-0,0200816;	139;-0,0023726;
138;-0,00895567;	138;0;	138;-0,0168035;	138;-0,00347259;	138;-0,0167895;	138;-0,00498121;
137;-0,00275203;	137;-4,94492e-005;	137;-0,0181166;	137;-0,0734627;	137;-0,0226666;	137;-0,0210317;
136;-0,00529589;	136;7,98475e-009;	136;-0,00731418;	136;-0,0154372;	136;-0,00796066;	136;-0,00107877;
135;-0,00986279;	135;-0,001751;	135;-0,000328518;	135;-0,00490691;	135;-0,000709898;	135;-0,0376282;
134;-0,0170344;	134;-0,00215819;	134;-0,0110233;	134;-0,0185559;	134;-0,0190487;	134;-0,0167416;
133;-0,0200071;	133;0;	133;-0,0171463;	133;-0,149857;	133;-0,0372277;	133;-0,0180637;
132;-0,0103469;	132;-0,00115847;	132;-0,00236847;	132;-0,145369;	132;-0,0100094;	132;-0,0253057;
131;-0,00642438;	131;-0,00192319;	131;-0,00243936;	131;-0,000634097;	131;-0,0420989;	131;-0,00894812;
130;-0,00665289;	130;0;	130;-0,0129641;	130;-0,0663131;	130;-0,00960842;	130;-0,0103842;
129;-0,00734039;	129;-0,0103087;	129;-0,00406074;	129;-0,0200641;	129;-0,0282292;	129;-0,0107475;
128;-0,0106721;	128;0;	128;-0,00189687;	128;-0,0324266;	128;-0,00601129;	128;-0,0305272;
127;-0,020094;	127;5,58011e-009;	127;-0,0470801;	127;-0,0199278;	127;-0,0116393;	127;-0,00514303;
126;-0,00152502;	126;-0,00058559;	126;-0,0588171;	126;1,29804e-008;	126;-0,0131242;	126;-0,00325793;
125;-0,00999099;	125;-5,09759e-005;	125;-0,0329544;	125;-0,000161057;	125;-0,00682611;	125;0;
124;-0,0109868;	124;-0,00119494;	124;-0,0139313;	124;0;	124;-0,0500599;	124;-0,00730913;
123;-0,00322228;	123;0;	123;3,83855e-008;	123;-0,0267677;	123;-0,00113573;	123;-0,0052046;
122;-0,0143548;	122;-0,00125042;	122;-0,000535643;	122;-0,0565921;	122;-0,00439951;	122;-0,00131091;
121;-0,00533914;	121;3,546e-009;	121;-0,0348847;	121;-0,0200378;	121;-0,0307643;	121;-0,00427198;
120;-0,00782355;	120;9,18214e-009;	120;-0,0036338;	120;-0,015749;	120;-0,0237505;	120;-0,0134902;
119;-0,00314912;	119;0;	119;-0,0168129;	119;3,31295e-008;	119;-0,0225635;	119;-0,00751591;
118;-0,0167276;	118;-0,000119039;	118;-0,00957995;	118;7,62875e-007;	118;1,98264e-006;	118;0;
117;-0,014649;	117;0;	117;-0,0121734;	117;-0,00711188;	117;-0,0116791;	117;-0,0318007;
116;-0,018155;	116;0;	116;-0,0217134;	116;-0,0327931;	116;-0,0155922;	116;-0,00980614;
115;-0,00790695;	115;-0,000476906;	115;-0,00933991;	115;2,50525e-007;	115;-0,00457405;	115;-0,000473875;
114;-0,014962;	114;-0,000210939;	114;0;	114;8,99092e-008;	114;-0,000611686;	114;-0,000732768;
113;-0,012324;	113;2,46567e-009;	113;-0,000505363;	113;-0,0239251;	113;-0,0441781;	113;-0,00291429;
112;-0,0221162;	112;-0,000328953;	112;-0,00797957;	112;-5,41427e-005;	112;-0,0505449;	112;-0,00959796;
111;-0,0128442;	111;3,94298e-008;	111;-0,00570352;	111;2,93327e-008;	111;-0,0104589;	111;-0,00566181;
110;-0,0079625;	110;1,23681e-008;	110;-9,41665e-005;	110;-0,0497112;	110;-0,0237451;	110;-0,0141968;
109;-0,0146284;	109;6,50807e-007;	109;-0,00938752;	109;-0,00498864;	109;-0,0283186;	109;-0,0176208;
108;-0,00992951;	108;0;	108;-0,00664834;	108;5,72433e-007;	108;1,93401e-005;	108;-0,00334557;
107;-0,00655835;	107;0;	107;-0,0105179;	107;-1,16289e-005;	107;-0,0197722;	107;-0,0317375;
106;-0,0147166;	106;-0,000652744;	106;-0,0313007;	106;-0,0382947;	106;-0,00272449;	106;-0,00193209;
